1591425399.925532000		1	isatap
1591425399.925636000	192.168.100.121	1	isatap
1591425400.034383000		1	isatap
1591425400.034437000	192.168.100.121	1	isatap
1591425402.490880000		1	isatap
1591425402.491619000	192.168.100.121	1	isatap
1591425402.597258000		1	isatap
1591425402.597470000	192.168.100.121	1	isatap
1591425405.056700000		1	isatap
1591425405.056832000	192.168.100.121	1	isatap
1591425405.159366000		1	isatap
1591425405.159413000	192.168.100.121	1	isatap
1591425407.765563000	192.168.100.121	12	8.8.8.8.in-addr.arpa
1591425407.786064000	192.168.100.121	16	l.ns.ostrykebs.pl
1591425408.026165000	192.168.100.121	12	2.100.168.192.in-addr.arpa
1591425408.031831000	192.168.100.121	16	l.1.ns.ostrykebs.pl
1591425408.192436000	192.168.100.121	12	2.100.168.192.in-addr.arpa
1591425408.198347000	192.168.100.121	16	l.2.ns.ostrykebs.pl
1591425408.318346000	192.168.100.121	12	2.100.168.192.in-addr.arpa
1591425408.323857000	192.168.100.121	16	l.3.ns.ostrykebs.pl
1591425408.449465000	192.168.100.121	12	2.100.168.192.in-addr.arpa
1591425408.455243000	192.168.100.121	16	l.4.ns.ostrykebs.pl
1591425408.647557000	192.168.100.121	12	2.100.168.192.in-addr.arpa
1591425408.653610000	192.168.100.121	16	l.5.ns.ostrykebs.pl
1591425408.845143000	192.168.100.121	12	2.100.168.192.in-addr.arpa
1591425408.851342000	192.168.100.121	16	l.6.ns.ostrykebs.pl
1591425409.051150000	192.168.100.121	12	2.100.168.192.in-addr.arpa
1591425409.058612000	192.168.100.121	16	l.7.ns.ostrykebs.pl
1591425409.220420000	192.168.100.121	12	2.100.168.192.in-addr.arpa
1591425409.226083000	192.168.100.121	16	l.8.ns.ostrykebs.pl
1591425409.371396000	192.168.100.121	12	2.100.168.192.in-addr.arpa
1591425409.377230000	192.168.100.121	16	l.9.ns.ostrykebs.pl
1591425409.507863000	192.168.100.121	12	2.100.168.192.in-addr.arpa
1591425409.513354000	192.168.100.121	16	l.10.ns.ostrykebs.pl
1591425409.643895000	192.168.100.121	12	2.100.168.192.in-addr.arpa
1591425409.649369000	192.168.100.121	16	l.11.ns.ostrykebs.pl
1591425409.776479000	192.168.100.121	12	2.100.168.192.in-addr.arpa
1591425409.782063000	192.168.100.121	16	l.12.ns.ostrykebs.pl
1591425409.898911000	192.168.100.121	12	2.100.168.192.in-addr.arpa
