06/06/2020-06:36:47.786064  [**] [1:9000003:1] C2 DNS lookup to known-bad domain ostrykebs.pl [**] [Classification: (null)] [Priority: 3] {UDP} 192.168.100.121:63407 -> 8.8.8.8:53
06/06/2020-06:36:48.031831  [**] [1:9000001:1] C2 DNS TXT staging cradle - sequential l.<n>.ns lookup [**] [Classification: (null)] [Priority: 3] {UDP} 192.168.100.121:63409 -> 192.168.100.2:53
06/06/2020-06:36:48.031831  [**] [1:9000003:1] C2 DNS lookup to known-bad domain ostrykebs.pl [**] [Classification: (null)] [Priority: 3] {UDP} 192.168.100.121:63409 -> 192.168.100.2:53
06/06/2020-06:36:48.198347  [**] [1:9000001:1] C2 DNS TXT staging cradle - sequential l.<n>.ns lookup [**] [Classification: (null)] [Priority: 3] {UDP} 192.168.100.121:63411 -> 192.168.100.2:53
06/06/2020-06:36:48.198347  [**] [1:9000003:1] C2 DNS lookup to known-bad domain ostrykebs.pl [**] [Classification: (null)] [Priority: 3] {UDP} 192.168.100.121:63411 -> 192.168.100.2:53
06/06/2020-06:36:48.323857  [**] [1:9000001:1] C2 DNS TXT staging cradle - sequential l.<n>.ns lookup [**] [Classification: (null)] [Priority: 3] {UDP} 192.168.100.121:63413 -> 192.168.100.2:53
06/06/2020-06:36:48.323857  [**] [1:9000003:1] C2 DNS lookup to known-bad domain ostrykebs.pl [**] [Classification: (null)] [Priority: 3] {UDP} 192.168.100.121:63413 -> 192.168.100.2:53
06/06/2020-06:36:48.455243  [**] [1:9000001:1] C2 DNS TXT staging cradle - sequential l.<n>.ns lookup [**] [Classification: (null)] [Priority: 3] {UDP} 192.168.100.121:63415 -> 192.168.100.2:53
06/06/2020-06:36:48.455243  [**] [1:9000003:1] C2 DNS lookup to known-bad domain ostrykebs.pl [**] [Classification: (null)] [Priority: 3] {UDP} 192.168.100.121:63415 -> 192.168.100.2:53
06/06/2020-06:36:48.653610  [**] [1:9000001:1] C2 DNS TXT staging cradle - sequential l.<n>.ns lookup [**] [Classification: (null)] [Priority: 3] {UDP} 192.168.100.121:63417 -> 192.168.100.2:53
06/06/2020-06:36:48.653610  [**] [1:9000003:1] C2 DNS lookup to known-bad domain ostrykebs.pl [**] [Classification: (null)] [Priority: 3] {UDP} 192.168.100.121:63417 -> 192.168.100.2:53
